127.0.0.1 - - [20/Mar/2025:08:12:55 +0000] "GET /help HTTP/1.1" 502 2026 "" "curl/8.11.1-DEV" -
127.0.0.1 - - [20/Mar/2025:08:13:12 +0000] "GET /api/v4/internal/kubernetes/receptive_agents HTTP/1.1" 404 25 "" "gitlab-kas/v17.9.2/v17.9.2" -
127.0.0.1 - - [20/Mar/2025:08:13:56 +0000] "GET /help HTTP/1.1" 200 27204 "" "curl/8.11.1-DEV" -
127.0.0.1 - - [20/Mar/2025:08:14:56 +0000] "GET /help HTTP/1.1" 200 27204 "" "curl/8.11.1-DEV" -
172.20.0.1 - - [20/Mar/2025:08:15:13 +0000] "GET / HTTP/1.1" 302 107 "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" -
172.20.0.1 - - [20/Mar/2025:08:15:14 +0000] "GET /users/sign_in HTTP/1.1" 200 4556 "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" 2.46
172.20.0.1 - - [20/Mar/2025:08:15:14 +0000] "GET /assets/application-182846f5d03243644eeff8074a2e7a731654615c4445f6d1134b9d422825e3ce.css HTTP/1.1" 200 119259 "http://localhost/users/sign_in" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" -
172.20.0.1 - - [20/Mar/2025:08:15:14 +0000] "GET /assets/page_bundles/login-c86aaeb732c7cd4528094f168b9ad4a0408b971bd952f45a9a4dd714d1c9ecb1.css HTTP/1.1" 200 327 "http://localhost/users/sign_in" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" -
172.20.0.1 - - [20/Mar/2025:08:15:14 +0000] "GET /assets/page_bundles/commit_description-1e2cba4dda3c7b30dd84924809020c569f1308dea51520fe1dd5d4ce31403195.css HTTP/1.1" 200 264 "http://localhost/users/sign_in" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" -
172.20.0.1 - - [20/Mar/2025:08:15:14 +0000] "GET /assets/application_utilities-58bec0f2dc46133fc9e8548af9854688398e9d7263cc0fd95ec5739f2a069dec.css HTTP/1.1" 200 143 "http://localhost/users/sign_in" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" -
172.20.0.1 - - [20/Mar/2025:08:15:14 +0000] "GET /assets/page_bundles/work_items-22a76cdd1fe2ae5431b7ff603f86212acaf81b49c4a932f19e3b3222dc1881ee.css HTTP/1.1" 200 1893 "http://localhost/users/sign_in" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" -
